periodo,nome,variavel,valor
153,TUCURUI,volume armazenado,18397.401486852927
154,FURNAS,volume armazenado,22584.88219286145
154,TUCURUI,volume armazenado,18071.85002031432
155,FURNAS,volume armazenado,22601.17757888276
155,TUCURUI,volume armazenado,17913.103984731897
156,FURNAS,volume armazenado,22759.459356887022
156,TUCURUI,volume armazenado,17533.205433353025
157,FURNAS,volume armazenado,22599.012272929645
157,TUCURUI,volume armazenado,17619.06890701454
158,FURNAS,volume armazenado,22574.13476654031
158,TUCURUI,volume armazenado,17465.073913696964
159,FURNAS,volume armazenado,22414.10057858293
159,TUCURUI,volume armazenado,17395.285736130663
160,FURNAS,volume armazenado,22255.376886625552
160,TUCURUI,volume armazenado,17347.45935900243
161,FURNAS,volume armazenado,22096.006922668174
161,TUCURUI,volume armazenado,17297.393177841026
162,FURNAS,volume armazenado,21957.613590296216
162,TUCURUI,volume armazenado,17110.310544056603
163,FURNAS,volume armazenado,22074.232649987214
163,TUCURUI,volume armazenado,16521.897781423464
164,FURNAS,volume armazenado,22252.594242989344
164,TUCURUI,volume armazenado,15826.5685813653
165,FURNAS,volume armazenado,22431.045595991476
165,TUCURUI,volume armazenado,15153.0095100953
166,FURNAS,volume armazenado,22609.909844993606
166,TUCURUI,volume armazenado,14503.33956383818
167,FURNAS,volume armazenado,22788.684333995738
167,TUCURUI,volume armazenado,13906.57731480736
168,FURNAS,volume armazenado,22950.0
168,TUCURUI,volume armazenado,13415.890710382513
0,FURNAS,volume vertido,-
0,TUCURUI,volume vertido,-
1,FURNAS,volume vertido,-0.0
1,TUCURUI,volume vertido,-0.0
2,FURNAS,volume vertido,-0.0
2,TUCURUI,volume vertido,-0.0
3,FURNAS,volume vertido,-0.0
3,TUCURUI,volume vertido,-0.0
4,FURNAS,volume vertido,-0.0
4,TUCURUI,volume vertido,-0.0
5,FURNAS,volume vertido,-0.0
5,TUCURUI,volume vertido,-0.0
6,FURNAS,volume vertido,-0.0
6,TUCURUI,volume vertido,-0.0
7,FURNAS,volume vertido,-0.0
7,TUCURUI,volume vertido,-0.0
8,FURNAS,volume vertido,-0.0
8,TUCURUI,volume vertido,-0.0
