periodo,submercado,posto,nome,geracao
122,1,3,SOLAR,0.0
123,1,1,EOL1,65.3619456
123,1,2,EOL2,29.98902897
123,1,3,SOLAR,0.0
124,1,1,EOL1,72.624384
124,1,2,EOL2,32.56477379
124,1,3,SOLAR,0.0
125,1,1,EOL1,80.85514752
125,1,2,EOL2,34.58857328
125,1,3,SOLAR,0.0
126,1,1,EOL1,83.27596032
126,1,2,EOL2,33.48468265
126,1,3,SOLAR,0.0
127,1,1,EOL1,73.10854656
127,1,2,EOL2,28.88513834
127,1,3,SOLAR,3.201282847
128,1,1,EOL1,62.94113278
128,1,2,EOL2,22.16980362
128,1,3,SOLAR,62.82517587
129,1,1,EOL1,60.03615742
129,1,2,EOL2,13.33867853
129,1,3,SOLAR,122.0489085
130,1,1,EOL1,49.86874366
130,1,2,EOL2,6.623343821
130,1,3,SOLAR,138.0553228
131,1,1,EOL1,38.73300481
131,1,2,EOL2,4.139589888
131,1,3,SOLAR,125.2501914
132,1,1,EOL1,32.43889152
132,1,2,EOL2,3.035699251
132,1,3,SOLAR,123.6495499
133,1,1,EOL1,27.59726592
133,1,2,EOL2,2.667735707
133,1,3,SOLAR,133.6535588
134,1,1,EOL1,25.17645312
134,1,2,EOL2,3.679635456
134,1,3,SOLAR,127.6511534
135,1,1,EOL1,27.59726592
135,1,2,EOL2,5.335471409
135,1,3,SOLAR,115.2461825
136,1,1,EOL1,33.8913792
136,1,2,EOL2,5.795425843
136,1,3,SOLAR,126.8508328
137,1,1,EOL1,46.47960576
137,1,2,EOL2,6.531352936
137,1,3,SOLAR,98.83960788
138,1,1,EOL1,70.68773376
138,1,2,EOL2,7.819225344
138,1,3,SOLAR,22.40897993
139,1,1,EOL1,92.95921152
139,1,2,EOL2,9.659043072
139,1,3,SOLAR,0.0
140,1,1,EOL1,102.1583002
140,1,2,EOL2,13.89062384
140,1,3,SOLAR,0.0
141,1,1,EOL1,102.6424628
141,1,2,EOL2,18.58215905
141,1,3,SOLAR,0.0
142,1,1,EOL1,102.6424628
142,1,2,EOL2,23.45767603
142,1,3,SOLAR,0.0
143,1,1,EOL1,104.0949505
143,1,2,EOL2,29.43708366
143,1,3,SOLAR,0.0
144,1,1,EOL1,101.189975
144,1,2,EOL2,33.1167191
144,1,3,SOLAR,0.0
145,1,1,EOL1,101.189975
145,1,2,EOL2,39.74006292
145,1,3,SOLAR,0.0
146,1,1,EOL1,101.6741376
146,1,2,EOL2,41.30390801
146,1,3,SOLAR,0.0
147,1,1,EOL1,99.73748736
147,1,2,EOL2,42.22381686
147,1,3,SOLAR,0.0
148,1,1,EOL1,100.2216499
148,1,2,EOL2,42.31580773
148,1,3,SOLAR,0.0
149,1,1,EOL1,102.1583002
