periodo,submercado,nome,geracao,status,acionamento,desligamento
55,1,GT5,0.0,0.0,0.0,0.0
56,1,GT1,200.0,1.0,0.0,0.0
56,1,GT2,0.0,1.0,0.0,0.0
56,1,GT3,0.0,0.0,0.0,0.0
56,1,GT4,0.0,0.0,0.0,0.0
56,1,GT5,0.0,0.0,0.0,0.0
57,1,GT1,200.0,1.0,0.0,0.0
57,1,GT2,0.0,0.0,0.0,1.0
57,1,GT3,0.0,0.0,0.0,0.0
57,1,GT4,0.0,0.0,0.0,0.0
57,1,GT5,0.0,0.0,0.0,0.0
58,1,GT1,200.0,1.0,0.0,0.0
58,1,GT2,0.0,0.0,0.0,0.0
58,1,GT3,0.0,0.0,0.0,0.0
58,1,GT4,0.0,0.0,0.0,0.0
58,1,GT5,0.0,0.0,0.0,0.0
59,1,GT1,200.0,1.0,0.0,0.0
59,1,GT2,0.0,0.0,0.0,0.0
59,1,GT3,0.0,0.0,0.0,0.0
59,1,GT4,0.0,0.0,0.0,0.0
59,1,GT5,0.0,0.0,0.0,0.0
60,1,GT1,200.0,1.0,0.0,0.0
60,1,GT2,0.0,-0.0,0.0,0.0
60,1,GT3,0.0,0.0,0.0,0.0
60,1,GT4,0.0,0.0,0.0,0.0
60,1,GT5,0.0,0.0,0.0,0.0
61,1,GT1,200.0,1.0,0.0,0.0
61,1,GT2,0.0,0.0,0.0,0.0
61,1,GT3,0.0,0.0,0.0,0.0
61,1,GT4,0.0,0.0,0.0,0.0
61,1,GT5,0.0,0.0,0.0,0.0
62,1,GT1,200.0,1.0,0.0,0.0
62,1,GT2,0.0,0.0,0.0,0.0
62,1,GT3,0.0,0.0,0.0,0.0
62,1,GT4,0.0,0.0,0.0,0.0
62,1,GT5,0.0,0.0,0.0,0.0
